index,high,highTime,low,lowTime,high-low
2,145.0,1618414443.0,143.0,1618414387.0,2.0
6,183887.0,1618413116.0,183202.0,1618414247.0,685.0
8,184542.0,1618414183.0,184635.0,1618414251.0,-93.0
10,185592.0,1618414121.0,183647.0,1618414413.0,1945.0
12,200143.0,1618413083.0,200002.0,1618414459.0,141.0
28,57.0,1618409715.0,5.0,1618395281.0,52.0
30,800.0,1618414432.0,800.0,1618411644.0,0.0
36,149.0,1618414394.0,129.0,1618411199.0,20.0
39,1.0,1618414227.0,2.0,1618407685.0,-1.0
40,9.0,1618414297.0,8.0,1618413533.0,1.0
41,21.0,1618414211.0,19.0,1618414209.0,2.0
42,40.0,1618414458.0,40.0,1618413991.0,0.0
43,93.0,1618414118.0,96.0,1618414341.0,-3.0
44,240.0,1618413973.0,238.0,1618414416.0,2.0
45,29.0,1618411281.0,32.0,1618413979.0,-3.0
46,43.0,1618413424.0,40.0,1618413173.0,3.0
47,88.0,1618390326.0,30.0,1618387538.0,58.0
48,6.0,1618410345.0,2.0,1618410770.0,4.0
50,20.0,1618413109.0,16.0,1618414080.0,4.0
52,1.0,1618414207.0,1.0,1618410252.0,0.0
53,6.0,1618414206.0,6.0,1618414277.0,0.0
54,27.0,1618413760.0,24.0,1618412931.0,3.0
56,23.0,1618414409.0,16.0,1618414438.0,7.0
58,63.0,1618413937.0,51.0,1618414370.0,12.0
60,38.0,1618407583.0,40.0,1618414367.0,-2.0
62,93.0,1618414240.0,88.0,1618414422.0,5.0
64,84.0,1618414402.0,85.0,1618414235.0,-1.0
66,278.0,1618414411.0,270.0,1618414381.0,8.0
68,198.0,1618414026.0,198.0,1618414027.0,0.0
70,1019.0,1618414318.0,1016.0,1618414396.0,3.0
72,760.0,1618414216.0,745.0,1618414226.0,15.0
91,77.0,1618414429.0,74.0,1618412803.0,3.0
93,77.0,1618413494.0,75.0,1618413347.0,2.0
95,199.0,1618414458.0,193.0,1618414315.0,6.0
97,870.0,1618414437.0,835.0,1618414403.0,35.0
99,8233.0,1618414410.0,8192.0,1618414429.0,41.0
101,722.0,1618414428.0,719.0,1618414385.0,3.0
103,1763.0,1618414446.0,1759.0,1618414230.0,4.0
105,1167.0,1618414210.0,1162.0,1618413384.0,5.0
107,1500.0,1618414080.0,1458.0,1618413652.0,42.0
109,569.0,1618414443.0,555.0,1618413672.0,14.0
111,7688.0,1618413917.0,7615.0,1618411418.0,73.0
113,409.0,1618414219.0,393.0,1618414358.0,16.0
115,370.0,1618411204.0,285.0,1618414202.0,85.0
117,300.0,1618380191.0,200.0,1618414254.0,100.0
119,118.0,1618380561.0,90.0,1618414080.0,28.0
121,3.0,1618413640.0,3.0,1618414079.0,0.0
123,75.0,1618414374.0,3.0,1618406230.0,72.0
125,5.0,1618391014.0,2.0,1618411490.0,3.0
127,121.0,1618414229.0,58.0,1618413878.0,63.0
129,70.0,1618395972.0,64.0,1618412929.0,6.0
131,28.0,1618412710.0,32.0,1618391625.0,-4.0
133,173.0,1618380647.0,173.0,1618412607.0,0.0
135,2000.0,1618411744.0,323.0,1618413883.0,1677.0
137,85.0,1618413652.0,2.0,1618353064.0,83.0
139,7986.0,1618414411.0,7962.0,1618414433.0,24.0
141,5500.0,1618412367.0,5291.0,1618414180.0,209.0
143,2720.0,1618411524.0,2640.0,1618414363.0,80.0
145,129.0,1618410608.0,107.0,1618414358.0,22.0
147,59.0,1618414371.0,59.0,1618413822.0,0.0
149,221.0,1618414047.0,38.0,1618413222.0,183.0
151,100.0,1618414185.0,100.0,1618412494.0,0.0
153,110.0,1618387170.0,961.0,1616609743.0,-851.0
155,42.0,1618381609.0,1.0,1618350059.0,41.0
157,1108.0,1618414040.0,1108.0,1618414062.0,0.0
159,648.0,1618409950.0,360.0,1618413784.0,288.0
161,497.0,1618414057.0,372.0,1618413789.0,125.0
163,512.0,1618412223.0,512.0,1618414266.0,0.0
165,397.0,1618414140.0,300.0,1618413207.0,97.0
167,180.0,1618414228.0,106.0,1618414385.0,74.0
169,190.0,1618414137.0,186.0,1618414089.0,4.0
171,122.0,1618412812.0,122.0,1618414342.0,0.0
173,65.0,1618414396.0,20.0,1618413982.0,45.0
175,141.0,1618413457.0,115.0,1618414200.0,26.0
177,109.0,1618412942.0,40.0,1618411743.0,69.0
179,10000.0,1618385547.0,67.0,1618413595.0,9933.0
181,176.0,1618412120.0,175.0,1618414352.0,1.0
183,92.0,1618412285.0,87.0,1618413939.0,5.0
185,50.0,1618412752.0,43.0,1618412329.0,7.0
187,500.0,1618411816.0,266.0,1618413282.0,234.0
189,1089.0,1617745075.0,1126.0,1618413984.0,-37.0
191,851.0,1618359840.0,676.0,1618413562.0,175.0
193,951.0,1618404956.0,195.0,1618405791.0,756.0
197,1500.0,1618393930.0,1000.0,1618385592.0,500.0
199,45.0,1618413877.0,36.0,1618414441.0,9.0
201,30.0,1618412919.0,25.0,1618414445.0,5.0
203,500.0,1618413737.0,110.0,1618414457.0,390.0
205,670.0,1618414191.0,672.0,1618414448.0,-2.0
207,7950.0,1618414427.0,7911.0,1618414452.0,39.0
209,579.0,1618414429.0,575.0,1618414454.0,4.0
211,1570.0,1618413136.0,1570.0,1618414447.0,0.0
213,1029.0,1618413879.0,1007.0,1618414451.0,22.0
215,1235.0,1618414128.0,1240.0,1618414435.0,-5.0
217,391.0,1618414441.0,391.0,1618414438.0,0.0
219,7700.0,1618413978.0,7692.0,1618414452.0,8.0
221,4.0,1618414439.0,4.0,1618414439.0,0.0
223,549.0,1618414434.0,541.0,1618414194.0,8.0
225,839.0,1618414239.0,831.0,1618414422.0,8.0
227,3.0,1618414459.0,3.0,1618414317.0,0.0
229,2.0,1618414405.0,2.0,1618414435.0,0.0
231,295.0,1618414440.0,295.0,1618414438.0,0.0
233,193.0,1618414450.0,160.0,1618412167.0,33.0
235,195.0,1618414290.0,121.0,1618414129.0,74.0
